title,price,link
"
MSI Thin 15, Intel 13th Gen. Core i7-13620H, 40CM FHD 144Hz
                    Gaming Laptop(16GB/512GB NVMe SSD/Windows 11 Home/NVIDIA
                    GeForce RTX 3050,GDDR6 4GB/Cosmos Gray/1.86Kg),
                    B13UC-1804IN

","69,990",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo3MTIyNjQyNzE4ODcyNzkyOjE3MjQ1OTI0NDk6c3BfYnRmOjMwMDI4MTU0ODc4MjczMjo6MDo6&url=%2FMSI-i7-13620H-Windows-GeForce-B13UC-1804IN%2Fdp%2FB0CV9LFHYG%2Fref%3Dsr_1_21_sspa%3Fcrid%3D2EPXRD5XRP2ZS%26dib%3DeyJ2IjoiMSJ9.NulIHFfG2dg2sTQWpEJkh2jPz-zC8-QUn8SxT01S686ijR1qMvX3P6uvpor1legE0eDjg4r5aezWdQz4lOjJk13cnwT8s7_OGI6FrOcLgJrwg-XlBmn2L8GLrGvHY6rSJnM_b5TH6KgBWrzNVutPS7fXvDf8zuCqXVHPsaY-eUV44KdY6JZl4UnAoM6A7-g49L-VTzFSfgw5W_x5QgwaHFt5g6GAEt7WcmVaUaDDJOM.SpjF4IvYdDvo7v51hKSLP_gLX_HDDYGPt-FX18QS34k%26dib_tag%3Dse%26keywords%3Dgaming%2Blaptop%26qid%3D1724592449%26sprefix%3Dgaming%2Blaptop%252Caps%252C201%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H,4GB RTX 2050 GPU,15.6-inch(39.6 cm),FHD,IPS,144Hz,16GB DDR4,512GB SSD,Backlit KB,MSO,B&O,9ms Response time(Blue, 2.29 kg),fa1373TX/fa1227TX  ","59,532",https://www.amazon.in//HP-i5-12450H-15-6-inch-Response-fa1373TX/dp/B0D2DDJ6PJ/ref=sr_1_9?crid=2EPXRD5XRP2ZS&dib=eyJ2IjoiMSJ9.NulIHFfG2dg2sTQWpEJkh2jPz-zC8-QUn8SxT01S686ijR1qMvX3P6uvpor1legE0eDjg4r5aezWdQz4lOjJk13cnwT8s7_OGI6FrOcLgJrwg-XlBmn2L8GLrGvHY6rSJnM_b5TH6KgBWrzNVutPS7fXvDf8zuCqXVHPsaY-eUV44KdY6JZl4UnAoM6A7-g49L-VTzFSfgw5W_x5QgwaHFt5g6GAEt7WcmVaUaDDJOM.SpjF4IvYdDvo7v51hKSLP_gLX_HDDYGPt-FX18QS34k&dib_tag=se&keywords=gaming+laptop&qid=1724592437&sprefix=gaming+laptop%2Caps%2C201&sr=8-9
"Acer Aspire 5 Gaming Laptop 13th Gen Intel Core i5(16GB RAM/512GB SSD/NVIDIA RTX 2050 4GB Graphics/144Hz/Win11Home)A515-58GM 15.6"" FHD Display, Steel Gray, Backlit Keyboard, Fingerprint Reader, 1.78KG  ","55,990",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo4MTU0NTU5NjA5NzM5OTc4OjE3MjQ1OTI0Mzc6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDI4MTU0ODc4MjMzMjo6MTo6&url=%2FAcer-Graphics-Win11Home-A515-58GM-Fingerprint%2Fdp%2FB0D1G7B66L%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.6c693193-d8ab-43a0-b6bb-50a742f3faad%253Aamzn1.sym.6c693193-d8ab-43a0-b6bb-50a742f3faad%26crid%3D2EPXRD5XRP2ZS%26cv_ct_cx%3Dgaming%2Blaptop%26dib%3DeyJ2IjoiMSJ9.OQw2LZf_cpKNPORPiRPs_hrMVRMnXDXHSRTZ4bWbWN8wjgcX2G1YqKWZGy7W21L3HDhz8S--X0By81UquaX-nA.r8vXu6W4HPvLIJs3PxfLm7zIYT44njfoioScSFwJa9s%26dib_tag%3Dse%26keywords%3Dgaming%2Blaptop%26pd_rd_i%3DB0D1G7B66L%26pd_rd_r%3D36aa86cc-d06d-482a-91de-247f93e7933c%26pd_rd_w%3D5y5Vz%26pd_rd_wg%3DJYDOc%26pf_rd_p%3D6c693193-d8ab-43a0-b6bb-50a742f3faad%26pf_rd_r%3D52PZNRSH6ERV4MNZ94DX%26qid%3D1724592437%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dgaming%2Blaptop%252Caps%252C201%26sr%3D1-2-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
"Acer Nitro V Gaming Laptop 13th Gen Intel Core i7-13620H (Windows 11 Home/16 GB DDR5/512 GB SSD/6 GB NVIDIA GeForce RTX 4050 Graphics/165 Hz/Wi-Fi 6) ANV15-51, 39.6 cm (15.6"") FHD IPS Display, 2.1 KG  ","88,990",https://www.amazon.in//Acer-i7-13620H-Windows-Graphics-ANV15-51/dp/B0CSJV4WS6/ref=sr_1_13?crid=2EPXRD5XRP2ZS&dib=eyJ2IjoiMSJ9.NulIHFfG2dg2sTQWpEJkh2jPz-zC8-QUn8SxT01S686ijR1qMvX3P6uvpor1legE0eDjg4r5aezWdQz4lOjJk13cnwT8s7_OGI6FrOcLgJrwg-XlBmn2L8GLrGvHY6rSJnM_b5TH6KgBWrzNVutPS7fXvDf8zuCqXVHPsaY-eUV44KdY6JZl4UnAoM6A7-g49L-VTzFSfgw5W_x5QgwaHFt5g6GAEt7WcmVaUaDDJOM.SpjF4IvYdDvo7v51hKSLP_gLX_HDDYGPt-FX18QS34k&dib_tag=se&keywords=gaming+laptop&qid=1724592449&sprefix=gaming+laptop%2Caps%2C201&sr=8-13
"ASUS ROG Zephyrus G16, Intel Core Ultra 9 185H, Built-in AI, NVIDIA GeForce RTX 4070,16"" 2.5K QHD+ (40.64cm) 240Hz, Gaming Laptop (32GB/1TB SSD/Win 11/Office 2021/Gray/1.85 Kg), GU605MI-QP253WS  ","2,19,990",https://www.amazon.in//ASUS-Zephyrus-GeForce-40-64cm-GU605MI-QP253WS/dp/B0D25W99M1/ref=sr_1_10?crid=2EPXRD5XRP2ZS&dib=eyJ2IjoiMSJ9.NulIHFfG2dg2sTQWpEJkh2jPz-zC8-QUn8SxT01S686ijR1qMvX3P6uvpor1legE0eDjg4r5aezWdQz4lOjJk13cnwT8s7_OGI6FrOcLgJrwg-XlBmn2L8GLrGvHY6rSJnM_b5TH6KgBWrzNVutPS7fXvDf8zuCqXVHPsaY-eUV44KdY6JZl4UnAoM6A7-g49L-VTzFSfgw5W_x5QgwaHFt5g6GAEt7WcmVaUaDDJOM.SpjF4IvYdDvo7v51hKSLP_gLX_HDDYGPt-FX18QS34k&dib_tag=se&keywords=gaming+laptop&qid=1724592461&sprefix=gaming+laptop%2Caps%2C201&sr=8-10
"[Smart Choice] Lenovo IdeaPad Gaming 3 Laptop AMD Ryzen 5 5500H 15.6"" (39.62cm) FHD IPS 300nits 144Hz (8GB/512GB SSD/Win 11/NVIDIA RTX 2050 4GB/Alexa/3 Month Game Pass/Shadow Black/2.32Kg), 82K20289IN  ","45,990",https://www.amazon.in//Lenovo-IdeaPad-39-62cm-300nits-82K20289IN/dp/B0CL5L59Z9/ref=sr_1_3?crid=2EPXRD5XRP2ZS&dib=eyJ2IjoiMSJ9.NulIHFfG2dg2sTQWpEJkh2jPz-zC8-QUn8SxT01S686ijR1qMvX3P6uvpor1legE0eDjg4r5aezWdQz4lOjJk13cnwT8s7_OGI6FrOcLgJrwg-XlBmn2L8GLrGvHY6rSJnM_b5TH6KgBWrzNVutPS7fXvDf8zuCqXVHPsaY-eUV44KdY6JZl4UnAoM6A7-g49L-VTzFSfgw5W_x5QgwaHFt5g6GAEt7WcmVaUaDDJOM.SpjF4IvYdDvo7v51hKSLP_gLX_HDDYGPt-FX18QS34k&dib_tag=se&keywords=gaming+laptop&qid=1724592449&sprefix=gaming+laptop%2Caps%2C201&sr=8-3
"ASUS TUF Gaming A15, 15.6"" FHD 16:9 144Hz 250nits, AMD Ryzen 5 7535HS Processor, Gaming Laptop (16GB RAM/512GB SSD/NVIDIA GeForce RTX 3050/Windows 11/Office 2021/Graphite Black/2.3 Kg),FA566NC-HN083WS  ","61,990",https://www.amazon.in//ASUS-TUF-Gaming-15-6-FA566NC-HN083WS/dp/B0DBLYRKVJ/ref=sr_1_17?crid=2EPXRD5XRP2ZS&dib=eyJ2IjoiMSJ9.NulIHFfG2dg2sTQWpEJkh2jPz-zC8-QUn8SxT01S686ijR1qMvX3P6uvpor1legE0eDjg4r5aezWdQz4lOjJk13cnwT8s7_OGI6FrOcLgJrwg-XlBmn2L8GLrGvHY6rSJnM_b5TH6KgBWrzNVutPS7fXvDf8zuCqXVHPsaY-eUV44KdY6JZl4UnAoM6A7-g49L-VTzFSfgw5W_x5QgwaHFt5g6GAEt7WcmVaUaDDJOM.SpjF4IvYdDvo7v51hKSLP_gLX_HDDYGPt-FX18QS34k&dib_tag=se&keywords=gaming+laptop&qid=1724592449&sprefix=gaming+laptop%2Caps%2C201&sr=8-17
"Acer Aspire 5 Gaming Laptop 13th Gen Intel Core i5(16GB RAM/512GB SSD/NVIDIA RTX 2050 4GB Graphics/144Hz/Win11Home)A515-58GM 15.6"" FHD Display, Steel Gray, Backlit Keyboard, Fingerprint Reader, 1.78KG  ","55,990",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo1MTc3MDMyNzI2NzgzMDAxOjE3MjQ1OTI0NDk6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDI4MTU0ODc4MjMzMjo6MTo6&url=%2FAcer-Graphics-Win11Home-A515-58GM-Fingerprint%2Fdp%2FB0D1G7B66L%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.6c693193-d8ab-43a0-b6bb-50a742f3faad%253Aamzn1.sym.6c693193-d8ab-43a0-b6bb-50a742f3faad%26crid%3D2EPXRD5XRP2ZS%26cv_ct_cx%3Dgaming%2Blaptop%26dib%3DeyJ2IjoiMSJ9.V8BWnuIk7IFO8Y8LHdANzKVTyJunpmerzXHsnn7vwq4CG4tlXjHaApTjdnvZXrUuHDhz8S--X0By81UquaX-nA.KUH508kV012OYzIwkC1P1jf1dkDsJjITAatqihV-YP8%26dib_tag%3Dse%26keywords%3Dgaming%2Blaptop%26pd_rd_i%3DB0D1G7B66L%26pd_rd_r%3Ddb47a8fc-a5d9-4829-8e74-0f7f9e2bbe97%26pd_rd_w%3DP8OiE%26pd_rd_wg%3DdpGPM%26pf_rd_p%3D6c693193-d8ab-43a0-b6bb-50a742f3faad%26pf_rd_r%3DB43KKPZ9AZPKTQ4FGCQ4%26qid%3D1724592449%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dgaming%2Blaptop%252Caps%252C201%26sr%3D1-2-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
"HP Victus Gaming Laptop, AMD Ryzen 5 5600H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm), FHD, IPS, 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&O, 9ms Response time, Dual Speakers (Blue, 2.37 kg), fb0106AX  ","60,990",https://www.amazon.in//HP-GeForce-Graphics-Response-15-fb0106AX/dp/B0BWS9YNCX/ref=sr_1_6?crid=2EPXRD5XRP2ZS&dib=eyJ2IjoiMSJ9.NulIHFfG2dg2sTQWpEJkh2jPz-zC8-QUn8SxT01S686ijR1qMvX3P6uvpor1legE0eDjg4r5aezWdQz4lOjJk13cnwT8s7_OGI6FrOcLgJrwg-XlBmn2L8GLrGvHY6rSJnM_b5TH6KgBWrzNVutPS7fXvDf8zuCqXVHPsaY-eUV44KdY6JZl4UnAoM6A7-g49L-VTzFSfgw5W_x5QgwaHFt5g6GAEt7WcmVaUaDDJOM.SpjF4IvYdDvo7v51hKSLP_gLX_HDDYGPt-FX18QS34k&dib_tag=se&keywords=gaming+laptop&qid=1724592461&sprefix=gaming+laptop%2Caps%2C201&sr=8-6
"HP OMEN Gaming Laptop, 14th Gen Intel Core i7-14650HX, 8GB RTX 4060 GPU, 16.1-inch (40.9 cm), FHD, IPS, 144Hz, 300 nits, 16GB DDR5, 1TB SSD, Backlit KB, B&O (MSO, Black, 2.32 kg), wf1096TX/wf1102TX  ","1,35,490",https://www.amazon.in//HP-i7-14650HX-16-1-inch-wf1096TX-wf1102TX/dp/B0D1YL72Y6/ref=sr_1_14?crid=2EPXRD5XRP2ZS&dib=eyJ2IjoiMSJ9.NulIHFfG2dg2sTQWpEJkh2jPz-zC8-QUn8SxT01S686ijR1qMvX3P6uvpor1legE0eDjg4r5aezWdQz4lOjJk13cnwT8s7_OGI6FrOcLgJrwg-XlBmn2L8GLrGvHY6rSJnM_b5TH6KgBWrzNVutPS7fXvDf8zuCqXVHPsaY-eUV44KdY6JZl4UnAoM6A7-g49L-VTzFSfgw5W_x5QgwaHFt5g6GAEt7WcmVaUaDDJOM.SpjF4IvYdDvo7v51hKSLP_gLX_HDDYGPt-FX18QS34k&dib_tag=se&keywords=gaming+laptop&qid=1724592461&sprefix=gaming+laptop%2Caps%2C201&sr=8-14
